"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000036","Erewash","E01019644","Erewash001A","Erewash 001A",0.21,-14.96,-2.58,6.98,-1.63,7.57,4.86,-14.63,-3.33,16.82,-1.72,22.45,-4.35,-15.27,-1.54,-2.17,-1.5,-1.96
"E07000036","Erewash","E01019646","Erewash001B","Erewash 001B",2.66,11.8,2.69,-0.76,6.06,-7.39,5.16,11.73,8.49,2.02,13.16,-9.43,0.37,11.88,-2.56,-3.21,0.67,-5.15
"E07000036","Erewash","E01019663","Erewash001C","Erewash 001C",8.49,6.92,31.48,7.13,6.61,1.04,11.61,9.3,47.62,8.87,5.8,7.08,5.71,4.11,21.21,5.6,7.56,-2.86
"E07000036","Erewash","E01019664","Erewash001D","Erewash 001D",0.75,-2.22,4.73,4.57,-9.26,6.18,4.03,-3.08,5.21,13.16,-10.43,20.27,-2.54,-1.2,4.11,-2.65,-7.92,-3.85
"E07000036","Erewash","E01019665","Erewash001E","Erewash 001E",-2,-3.76,0,5.35,-2.95,-7.86,-0.45,0.98,10.91,6.9,-4.38,-8.29,-3.38,-8.11,-7.5,4,-1.49,-7.48
"E07000036","Erewash","E01019657","Erewash003A","Erewash 003A",-2.69,-2.82,-5.07,3.91,-4.23,-11.04,-5.74,-9.7,-16.67,4.27,-2.48,-14.09,0.47,4.55,12.94,3.55,-5.88,-8.33
"E07000036","Erewash","E01019660","Erewash003B","Erewash 003B",-5.24,-5.97,-15.83,-3.89,-7.52,2.11,-1.4,-1.63,-11.86,1.9,-5.34,4.76,-8.81,-9.66,-19.67,-9.48,-9.84,0
"E07000036","Erewash","E01019661","Erewash003C","Erewash 003C",-1.35,-6.16,-3.8,1.64,3.23,-6.3,-0.4,-10.74,4.17,1.12,5.41,-2.92,-2.42,0,-10.47,2.27,0.76,-9.77
"E07000036","Erewash","E01019662","Erewash003D","Erewash 003D",-0.06,-0.74,-14.36,4.46,4.23,-3.88,2.5,-2.08,-9.88,6.56,5.1,2.68,-2.75,0.8,-17.54,2.16,3.15,-10
"E07000036","Erewash","E01019672","Erewash003E","Erewash 003E",-0.28,5.99,-15.35,2.8,2.73,-2.98,2.73,0,-18.64,12.69,3.47,3.73,-3.27,14.68,-11.82,-5.94,1.91,-8.17
"E07000036","Erewash","E01019690","Erewash003F","Erewash 003F",-1.64,-12.5,12.5,-5.75,7.69,3.31,-2.76,-10.32,12.33,-8.33,2.63,4.55,-0.48,-14.49,12.68,-2.98,13.83,2.15
